run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.generative.criterion.kwargs.alpha,acc,dis_loss,gen_loss,rob/0.1,rob/0.2,rob/0.3,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.1,uq_adv_acc/0.2,uq_adv_acc/0.3,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.2,uq_detection/5pct/0.2,uq_detection/10pct/0.2,uq_detection/20pct/0.2,uq_detection/1pct/0.3,uq_detection/5pct/0.3,uq_detection/10pct/0.3,uq_detection/20pct/0.3,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.2,uq_det_err_detected/5pct/0.2,uq_det_err_detected/10pct/0.2,uq_det_err_detected/20pct/0.2,uq_det_err_detected/1pct/0.3,uq_det_err_detected/5pct/0.3,uq_det_err_detected/10pct/0.3,uq_det_err_detected/20pct/0.3,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.2,uq_det_err_passed/5pct/0.2,uq_det_err_passed/10pct/0.2,uq_det_err_passed/20pct/0.2,uq_det_err_passed/1pct/0.3,uq_det_err_passed/5pct/0.3,uq_det_err_passed/10pct/0.3,uq_det_err_passed/20pct/0.3,uq_purify_acc/0.1/0.2,uq_purify_recovery/0.1/0.2,uq_purify_acc/0.2/0.2,uq_purify_recovery/0.2/0.2,uq_purify_acc/0.3/0.2,uq_purify_recovery/0.3/0.2,gibbs_purify_acc/0.1/1,gibbs_purify_recovery/0.1/1,gibbs_purify_acc/0.1/3,gibbs_purify_recovery/0.1/3,gibbs_purify_acc/0.1/5,gibbs_purify_recovery/0.1/5,gibbs_purify_acc/0.2/1,gibbs_purify_recovery/0.2/1,gibbs_purify_acc/0.2/3,gibbs_purify_recovery/0.2/3,gibbs_purify_acc/0.2/5,gibbs_purify_recovery/0.2/5,gibbs_purify_acc/0.3/1,gibbs_purify_recovery/0.3/1,gibbs_purify_acc/0.3/3,gibbs_purify_recovery/0.3/3,gibbs_purify_acc/0.3/5,gibbs_purify_recovery/0.3/5,uq_clean_purify_acc/0.2,gibbs_clean_purify_acc/1,gibbs_clean_purify_acc/3,gibbs_clean_purify_acc/5,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.2,uq_joint_adv_acc/0.3,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.2,uq_joint_detection/5pct/0.2,uq_joint_detection/10pct/0.2,uq_joint_detection/20pct/0.2,uq_joint_detection/1pct/0.3,uq_joint_detection/5pct/0.3,uq_joint_detection/10pct/0.3,uq_joint_detection/20pct/0.3,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.2,uq_joint_det_err_detected/5pct/0.2,uq_joint_det_err_detected/10pct/0.2,uq_joint_det_err_detected/20pct/0.2,uq_joint_det_err_detected/1pct/0.3,uq_joint_det_err_detected/5pct/0.3,uq_joint_det_err_detected/10pct/0.3,uq_joint_det_err_detected/20pct/0.3,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.2,uq_joint_det_err_passed/5pct/0.2,uq_joint_det_err_passed/10pct/0.2,uq_joint_det_err_passed/20pct/0.2,uq_joint_det_err_passed/1pct/0.3,uq_joint_det_err_passed/5pct/0.3,uq_joint_det_err_passed/10pct/0.3,uq_joint_det_err_passed/20pct/0.3,uq_joint_purify_acc/0.1/0.2,uq_joint_purify_recovery/0.1/0.2,uq_joint_purify_acc/0.2/0.2,uq_joint_purify_recovery/0.2/0.2,uq_joint_purify_acc/0.3/0.2,uq_joint_purify_recovery/0.3/0.2,gibbs_joint_purify_acc/0.1/1,gibbs_joint_purify_recovery/0.1/1,gibbs_joint_purify_acc/0.1/3,gibbs_joint_purify_recovery/0.1/3,gibbs_joint_purify_acc/0.1/5,gibbs_joint_purify_recovery/0.1/5,gibbs_joint_purify_acc/0.2/1,gibbs_joint_purify_recovery/0.2/1,gibbs_joint_purify_acc/0.2/3,gibbs_joint_purify_recovery/0.2/3,gibbs_joint_purify_acc/0.2/5,gibbs_joint_purify_recovery/0.2/5,gibbs_joint_purify_acc/0.3/1,gibbs_joint_purify_recovery/0.3/1,gibbs_joint_purify_acc/0.3/3,gibbs_joint_purify_recovery/0.3/3,gibbs_joint_purify_acc/0.3/5,gibbs_joint_purify_recovery/0.3/5
0,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/0,spirals,1,25,,0.826,0.37696334533393383,2.0929188579320908,0.436,0.288,0.208,0.826,-1.7226228713989258,0.428,0.292,0.2025,0.0305,0.0815,0.131,0.273,0.0295,0.0825,0.1205,0.206,0.022,0.063,0.112,0.187,0.9836065573770492,0.8220858895705522,0.6984732824427481,0.7087912087912088,0.8813559322033898,0.8909090909090909,0.7883817427385892,0.8058252427184466,0.7954545454545454,0.873015873015873,0.8125,0.8449197860962567,0.5590510572460031,0.5498094719651606,0.5529344073647872,0.5206327372764786,0.7027305512622359,0.6915531335149864,0.6969869243888573,0.6826196473551638,0.7975460122699386,0.7924226254002135,0.7956081081081081,0.7865928659286593,0.474,0.1451048951048951,0.362,0.12076271186440678,0.319,0.1592476489028213,0.6119999885559082,0.4195804195804196,0.5814999938011169,0.43006993006993005,0.5665000081062317,0.4589160839160839,0.4909999966621399,0.3163841807909605,0.5195000171661377,0.4046610169491525,0.5174999833106995,0.4413841807909605,0.46050000190734863,0.34106583072100316,0.5070000290870667,0.42758620689655175,0.5034999847412109,0.4445141065830721,0.6505,0.7164999842643738,0.6549999713897705,0.6430000066757202,0.447,0.325,0.2715,0.0045,0.029,0.066,0.1805,0.0015,0.0155,0.046,0.089,0.0005,0.0045,0.02,0.045,0.6666666666666666,0.5517241379310345,0.5833333333333334,0.6343490304709142,0.3333333333333333,0.7096774193548387,0.717391304347826,0.6910112359550562,0.0,0.3333333333333333,0.55,0.6666666666666666,0.5524861878453039,0.553038105046344,0.5508565310492506,0.5350823672971324,0.6755132699048573,0.6744540375825292,0.6729559748427673,0.6734357848518112,0.7288644322161081,0.730286288297338,0.7321428571428571,0.731413612565445,0.505,0.19168173598553345,0.436,0.21481481481481482,0.4035,0.22512010981468772,0.6075000166893005,0.4050632911392405,0.5985000133514404,0.4421338155515371,0.5709999799728394,0.47649186256781195,0.5005000233650208,0.2962962962962963,0.5335000157356262,0.3985185185185185,0.5239999890327454,0.4103703703703704,0.42800000309944153,0.2477693891557996,0.48399999737739563,0.36101578586135896,0.48100000619888306,0.37817433081674673
1,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/1,spirals,2,25,,0.9565,0.12103309226222336,1.9110342487692833,0.638,0.41,0.2775,0.9565,-1.778918981552124,0.6345,0.393,0.282,0.063,0.1985,0.2415,0.3485,0.067,0.2415,0.3015,0.4235,0.0425,0.207,0.283,0.411,0.7222222222222222,0.6397984886649875,0.6211180124223602,0.5408895265423243,0.7164179104477612,0.6666666666666666,0.6749585406301825,0.6942148760330579,0.7058823529411765,0.7101449275362319,0.7579505300353356,0.7773722627737226,0.3415154749199573,0.2975670617592015,0.2841133816743573,0.27168073676132004,0.5991425509110396,0.5880026367831246,0.5776664280601288,0.5429314830875975,0.7185378590078328,0.7200504413619168,0.702231520223152,0.6765704584040747,0.8785,0.7373461012311902,0.692,0.5453047775947282,0.5605,0.39623955431754876,0.8510000109672546,0.7606019151846786,0.8464999794960022,0.7948016415868673,0.8054999709129333,0.7482900136798906,0.7394999861717224,0.6252059308072487,0.7549999952316284,0.671334431630972,0.7484999895095825,0.6795716639209226,0.6464999914169312,0.5264623955431755,0.6830000281333923,0.5940111420612814,0.6974999904632568,0.6204735376044568,0.966,0.9325000047683716,0.8815000057220459,0.843500018119812,0.795,0.5885,0.42,0.001,0.029,0.056,0.158,0.002,0.032,0.0555,0.1575,0.002,0.022,0.0335,0.1245,1.0,0.39655172413793105,0.32142857142857145,0.370253164556962,0.25,0.671875,0.46846846846846846,0.6,0.25,0.6818181818181818,0.5970149253731343,0.6706827309236948,0.2042042042042042,0.19927909371781669,0.19809322033898305,0.17399049881235154,0.4118236472945892,0.40289256198347106,0.4081524616199047,0.37626112759643915,0.5806613226452906,0.5777096114519428,0.5794102431453699,0.5671045117075957,0.89,0.5756097560975609,0.713,0.38153098420413123,0.5885,0.3120689655172414,0.875,0.6731707317073171,0.8464999794960022,0.6853658536585366,0.8084999918937683,0.675609756097561,0.7480000257492065,0.4993924665856622,0.7580000162124634,0.5613608748481167,0.7630000114440918,0.6196840826245443,0.6079999804496765,0.3741379310344828,0.6740000247955322,0.5025862068965518,0.6909999847412109,0.5387931034482759
10,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/10,spirals,1,25,,1.0,0.00466515077278018,0.6695716762915254,0.91,0.527,0.328,1.0,-0.6658099293708801,0.911,0.5005,0.3395,0.184,0.4025,0.4795,0.6705,0.43,0.6285,0.6795,0.772,0.4525,0.564,0.6085,0.6955,0.38858695652173914,0.20496894409937888,0.17309697601668406,0.12527964205816555,0.5976744186046512,0.5863166268894192,0.5879323031640913,0.5492227979274611,0.6939226519337016,0.6897163120567376,0.7058340180772391,0.685118619698059,0.02144607843137255,0.010878661087866108,0.011527377521613832,0.015174506828528073,0.42543859649122806,0.35262449528936746,0.31201248049922,0.33114035087719296,0.6328767123287671,0.6227064220183486,0.5900383141762452,0.6042692939244664,0.9765,0.8426966292134831,0.726,0.46046046046046046,0.5635,0.34973504920514764,0.9390000104904175,0.8932584269662921,0.890999972820282,0.8876404494382022,0.8650000095367432,0.8707865168539326,0.7799999713897705,0.6196196196196196,0.7799999713897705,0.6596596596596597,0.7705000042915344,0.6786786786786787,0.6744999885559082,0.5352006056018168,0.7139999866485596,0.6048448145344436,0.6840000152587891,0.5881907645722937,0.9995,0.9789999723434448,0.9204999804496765,0.887499988079071,0.959,0.6275,0.433,0.0825,0.291,0.3625,0.535,0.219,0.529,0.5905,0.676,0.2305,0.426,0.471,0.5375,0.22424242424242424,0.09965635738831616,0.08137931034482758,0.058878504672897194,0.4840182648401826,0.43478260869565216,0.43691786621507195,0.4282544378698225,0.5770065075921909,0.5575117370892019,0.5902335456475584,0.5944186046511628,0.02452316076294278,0.01692524682651622,0.01803921568627451,0.02043010752688172,0.3412291933418694,0.30254777070063693,0.2796092796092796,0.25617283950617287,0.5640025990903184,0.5740418118466899,0.5463137996219282,0.5351351351351351,0.978,0.6341463414634146,0.7455,0.3275167785234899,0.5805,0.2724867724867725,0.9359999895095825,0.7682926829268293,0.9004999995231628,0.7439024390243902,0.8565000295639038,0.7439024390243902,0.7764999866485596,0.48053691275167787,0.7825000286102295,0.5315436241610738,0.7630000114440918,0.5248322147651007,0.6154999732971191,0.35185185185185186,0.6579999923706055,0.4462081128747795,0.652999997138977,0.47795414462081126
11,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/11,spirals,2,25,,0.9405,0.17338306782767177,2.2252669855952263,0.644,0.4765,0.3675,0.9405,-2.0450775623321533,0.647,0.458,0.3605,0.0435,0.1545,0.2165,0.3075,0.0185,0.1435,0.245,0.3505,0.0105,0.128,0.227,0.3565,0.5632183908045977,0.6310679611650486,0.6212471131639723,0.6276422764227643,0.6216216216216216,0.6655052264808362,0.6877551020408164,0.7232524964336662,0.42857142857142855,0.6796875,0.7048458149779736,0.7503506311360448,0.3434396236278097,0.3021880544056771,0.2788768347160179,0.23104693140794225,0.5404992358634743,0.5213076474022184,0.4947019867549669,0.44418783679753654,0.6417382516422435,0.6336009174311926,0.6203104786545925,0.578088578088578,0.779,0.4702549575070821,0.716,0.5119926199261993,0.668,0.5027365129007036,0.7979999780654907,0.5736543909348442,0.7985000014305115,0.6175637393767706,0.7630000114440918,0.5906515580736544,0.7285000085830688,0.5571955719557196,0.7519999742507935,0.6088560885608856,0.7329999804496765,0.5876383763837638,0.6865000128746033,0.5465207193119624,0.6949999928474426,0.5691946833463644,0.7014999985694885,0.5785770132916341,0.8375,0.8679999709129333,0.8224999904632568,0.8034999966621399,0.769,0.6245,0.5485,0.0005,0.0105,0.041,0.0905,0.0,0.006,0.0205,0.054,0.0,0.0025,0.01,0.033,0.0,0.5714285714285714,0.36585365853658536,0.3812154696132597,,0.8333333333333334,0.5365853658536586,0.46296296296296297,,0.6,0.45,0.45454545454545453,0.23111555777888945,0.22738756947953512,0.22523461939520334,0.2160527762506872,0.3755,0.3727364185110664,0.3721286370597244,0.370507399577167,0.4515,0.45112781954887216,0.45151515151515154,0.4513960703205791,0.798,0.2792207792207792,0.7025,0.25432756324900135,0.6695,0.29457364341085274,0.8255000114440918,0.4588744588744589,0.7904999852180481,0.44372294372294374,0.7770000100135803,0.43506493506493504,0.7404999732971191,0.38348868175765644,0.7509999871253967,0.440745672436751,0.7409999966621399,0.4340878828229028,0.6710000038146973,0.33111849390919157,0.7164999842643738,0.43410852713178294,0.7105000019073486,0.44518272425249167
12,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/12,spirals,3,25,,0.996,0.04454615246504545,1.6073919869959354,0.788,0.4445,0.292,0.996,-1.5517410039901733,0.786,0.477,0.2945,0.0315,0.1395,0.2555,0.39,0.0335,0.2175,0.3405,0.4805,0.0285,0.219,0.3485,0.4845,0.6190476190476191,0.5412186379928315,0.3639921722113503,0.28205128205128205,0.746268656716418,0.6735632183908046,0.580029368575624,0.5327783558792925,0.5964912280701754,0.7785388127853882,0.6886657101865137,0.6707946336429309,0.20082601961796592,0.1609529343404997,0.16252518468770988,0.17049180327868851,0.5152612519399896,0.48115015974440895,0.4935557240333586,0.5139557266602502,0.7086978898610397,0.6850192061459667,0.7145049884881044,0.7381183317167799,0.872,0.514018691588785,0.662,0.37093690248565964,0.495,0.2870304748405386,0.8374999761581421,0.6635514018691588,0.8015000224113464,0.6892523364485982,0.7649999856948853,0.6682242990654206,0.734499990940094,0.5583173996175909,0.7014999985694885,0.5602294455066922,0.6945000290870667,0.5573613766730402,0.5609999895095825,0.4053862508858965,0.612500011920929,0.4982282069454288,0.6269999742507935,0.5223245924875974,0.9675,0.9294999837875366,0.8485000133514404,0.8069999814033508,0.8355,0.5305,0.3785,0.001,0.0725,0.162,0.2395,0.0005,0.0475,0.133,0.1945,0.0005,0.023,0.0595,0.113,1.0,0.4,0.2808641975308642,0.23382045929018788,0.0,0.5473684210526316,0.5526315789473685,0.5681233933161953,0.0,0.34782608695652173,0.37815126050420167,0.45132743362831856,0.16366366366366367,0.14609164420485174,0.14200477326968974,0.14266929651545035,0.46973486743371684,0.46561679790026245,0.45674740484429066,0.4456859093730602,0.6218109054527263,0.627942681678608,0.6368952684742158,0.6431792559188275,0.8835,0.425531914893617,0.6735,0.3333333333333333,0.53,0.25422365245374096,0.8464999794960022,0.6109422492401215,0.8190000057220459,0.6717325227963525,0.777999997138977,0.6109422492401215,0.6955000162124634,0.443024494142705,0.7294999957084656,0.5505857294994675,0.6970000267028809,0.536741214057508,0.5329999923706055,0.27755430410297666,0.621999979019165,0.4416733708769107,0.6190000176429749,0.45374094931617054
13,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/13,spirals,4,25,,1.0,0.0032003289088606834,0.686149213463068,0.9205,0.4755,0.3165,1.0,-0.6832519769668579,0.922,0.494,0.319,0.1755,0.38,0.4595,0.623,0.4405,0.645,0.6945,0.7775,0.4385,0.5835,0.625,0.7025,0.32763532763532766,0.18421052631578946,0.15342763873775844,0.11316211878009631,0.5856980703745743,0.5976744186046512,0.583873290136789,0.5524115755627009,0.7001140250855188,0.726649528706084,0.7184,0.6903914590747331,0.024863553668890235,0.012903225806451613,0.013876040703052728,0.01989389920424403,0.44325290437890974,0.33943661971830985,0.32896890343698854,0.3438202247191011,0.666073018699911,0.617046818727491,0.6186666666666667,0.6588235294117647,0.977,0.7948717948717948,0.7325,0.4762845849802372,0.575,0.37738619676945667,0.9309999942779541,0.8205128205128205,0.8960000276565552,0.8589743589743589,0.8539999723434448,0.8269230769230769,0.7710000276565552,0.6106719367588933,0.7774999737739563,0.6482213438735178,0.7664999961853027,0.6699604743083004,0.6460000276565552,0.49926578560939794,0.6815000176429749,0.5690161527165932,0.6694999933242798,0.5741556534508077,1.0,0.9829999804496765,0.9240000247955322,0.8759999871253967,0.947,0.567,0.3555,0.0875,0.3095,0.3985,0.543,0.245,0.5405,0.6055,0.6775,0.211,0.4035,0.459,0.5285,0.29714285714285715,0.12116316639741519,0.09661229611041405,0.07826887661141804,0.5795918367346938,0.513413506012951,0.4888521882741536,0.4738007380073801,0.6540284360189573,0.6641883519206939,0.664488017429194,0.6499526963103122,0.02958904109589041,0.022447501810282405,0.024106400665004156,0.022975929978118162,0.38543046357615895,0.338411316648531,0.3472750316856781,0.34728682170542635,0.6419518377693283,0.6311818943839062,0.6275415896487985,0.6383881230116649,0.975,0.6981132075471698,0.7575,0.4457274826789838,0.568,0.3343677269200931,0.9474999904632568,0.8490566037735849,0.8845000267028809,0.7547169811320755,0.8535000085830688,0.8207547169811321,0.7879999876022339,0.5669745958429562,0.7850000262260437,0.6166281755196305,0.7429999709129333,0.5912240184757506,0.6044999957084656,0.40496508921644686,0.6445000171661377,0.4918541505042669,0.6549999713897705,0.5182311869666408
14,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/14,spirals,5,25,,0.996,0.04065027879551053,1.5250857025384903,0.7985,0.4625,0.3085,0.996,-1.4977707862854004,0.799,0.4795,0.3005,0.0685,0.172,0.246,0.339,0.067,0.2015,0.2905,0.409,0.067,0.16,0.239,0.393,0.49635036496350365,0.3866279069767442,0.3678861788617886,0.3672566371681416,0.6865671641791045,0.5831265508684863,0.5920826161790017,0.6124694376528117,0.6567164179104478,0.665625,0.6861924686192469,0.7468193384223919,0.17928073000536768,0.16243961352657005,0.14655172413793102,0.1157337367624811,0.5085744908896034,0.5046963055729493,0.49119097956307256,0.45685279187817257,0.702572347266881,0.705952380952381,0.7036793692509855,0.6688632619439868,0.88,0.5248756218905473,0.669,0.3909702209414025,0.5515,0.3666904932094353,0.8705000281333923,0.6865671641791045,0.8264999985694885,0.7263681592039801,0.7684999704360962,0.6940298507462687,0.7684999704360962,0.6071085494716618,0.7484999895095825,0.6263208453410183,0.7129999995231628,0.6128722382324687,0.6704999804496765,0.5461043602573267,0.6875,0.5982844889206577,0.6779999732971191,0.6040028591851322,0.98,0.9455000162124634,0.8539999723434448,0.784500002861023,0.8775,0.6215,0.4465,0.0025,0.06,0.112,0.1755,0.0035,0.0545,0.098,0.17,0.003,0.0335,0.053,0.14,1.0,0.23333333333333334,0.24107142857142858,0.23931623931623933,1.0,0.44954128440366975,0.4744897959183674,0.45,0.8333333333333334,0.5522388059701493,0.5,0.5357142857142857,0.12030075187969924,0.11542553191489362,0.10754504504504504,0.0976349302607641,0.3763171098845961,0.3744050766790058,0.36807095343680707,0.363855421686747,0.5526579739217653,0.553543714433523,0.5564941921858501,0.5563953488372093,0.899,0.39183673469387753,0.679,0.23910171730515192,0.5645,0.2565492321589883,0.875,0.5551020408163265,0.8119999766349792,0.6,0.7630000114440918,0.5510204081632653,0.7634999752044678,0.4676354029062087,0.7444999814033508,0.5270805812417437,0.7200000286102295,0.5495376486129459,0.6165000200271606,0.35772357723577236,0.6679999828338623,0.4941282746160795,0.6654999852180481,0.5365853658536586
15,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/15,spirals,1,25,,0.9995,0.011975046712905169,0.6402999311685562,0.9035,0.493,0.3835,0.9995,-0.6306564211845398,0.8855,0.494,0.397,0.3625,0.5235,0.58,0.6895,0.5365,0.6785,0.7215,0.802,0.518,0.664,0.702,0.78,0.2813793103448276,0.19675262655205347,0.1793103448275862,0.15736040609137056,0.6551724137931034,0.6050110537951363,0.6008316008316008,0.566708229426434,0.665057915057915,0.6671686746987951,0.6730769230769231,0.65,0.0196078431372549,0.024134312696747113,0.025,0.01932367149758454,0.3333333333333333,0.29704510108864696,0.26032315978456017,0.2601010101010101,0.5363070539419087,0.47619047619047616,0.43791946308724833,0.43636363636363634,0.9835,0.9082969432314411,0.722,0.48122529644268774,0.633,0.417910447761194,0.9340000152587891,0.9170305676855895,0.9014999866485596,0.9082969432314411,0.8730000257492065,0.9170305676855895,0.7979999780654907,0.674901185770751,0.777999997138977,0.6650197628458498,0.765500009059906,0.6818181818181818,0.7059999704360962,0.548922056384743,0.7239999771118164,0.6019900497512438,0.718999981880188,0.6086235489220564,0.999,0.9794999957084656,0.940500020980835,0.8985000252723694,0.9505,0.689,0.5295,0.1235,0.3045,0.383,0.5,0.224,0.4345,0.5105,0.6295,0.1935,0.3335,0.389,0.48,0.29959514170040485,0.12151067323481117,0.097911227154047,0.08,0.5870535714285714,0.44188722669735325,0.40842311459353575,0.37887212073073867,0.5090439276485789,0.38980509745127434,0.40359897172236503,0.41770833333333335,0.01426126640045636,0.017972681524083392,0.019448946515397084,0.019,0.23131443298969073,0.21043324491600354,0.2093973442288049,0.19568151147098514,0.4612523248605084,0.5108777194298575,0.5130932896890343,0.5192307692307693,0.98,0.8080808080808081,0.7805,0.33440514469453375,0.636,0.24867162592986186,0.9490000009536743,0.9292929292929293,0.906000018119812,0.9191919191919192,0.8799999952316284,0.8787878787878788,0.8029999732971191,0.4565916398713826,0.8065000176429749,0.545016077170418,0.7820000052452087,0.5385852090032154,0.6434999704360962,0.3007438894792774,0.656000018119812,0.34962805526036134,0.652999997138977,0.38150903294367694
16,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/16,spirals,2,25,,0.9985,0.020857312716543674,1.0310730375349522,0.843,0.5025,0.4135,0.9985,-1.0173735618591309,0.845,0.515,0.417,0.102,0.2655,0.405,0.544,0.17,0.4515,0.5775,0.725,0.1505,0.4905,0.61,0.7355,0.6421568627450981,0.3822975517890772,0.291358024691358,0.22334558823529413,0.6823529411764706,0.5625692137320044,0.5203463203463203,0.4882758620689655,0.6112956810631229,0.5891946992864424,0.5860655737704918,0.5594833446634943,0.09966592427616927,0.07283866575901975,0.06218487394957983,0.07346491228070176,0.44457831325301206,0.4211485870556062,0.4366863905325444,0.4763636363636364,0.5779870512065921,0.577036310107949,0.5782051282051283,0.6483931947069943,0.907,0.6129032258064516,0.6885,0.39278350515463917,0.5785,0.3181818181818182,0.9045000076293945,0.8387096774193549,0.8799999952316284,0.8548387096774194,0.8544999957084656,0.7903225806451613,0.7975000143051147,0.6350515463917525,0.7904999852180481,0.6577319587628866,0.781000018119812,0.6711340206185566,0.6934999823570251,0.5094339622641509,0.7179999947547913,0.5780445969125214,0.703499972820282,0.5711835334476844,0.995,0.9670000076293945,0.9304999709129333,0.8830000162124634,0.9105,0.665,0.488,0.006,0.1065,0.203,0.344,0.0025,0.142,0.26,0.4135,0.0025,0.0775,0.186,0.2955,0.75,0.3568075117370892,0.24630541871921183,0.15261627906976744,0.6,0.36971830985915494,0.47884615384615387,0.4111245465538089,1.0,0.43870967741935485,0.6236559139784946,0.5245346869712352,0.08551307847082495,0.05763850027979855,0.04956085319949812,0.056402439024390245,0.3343358395989975,0.32925407925407923,0.28445945945945944,0.2813299232736573,0.5107769423558898,0.5181571815718157,0.4864864864864865,0.5067423704755145,0.9085,0.40782122905027934,0.674,0.208955223880597,0.5235,0.1416015625,0.9054999947547913,0.7430167597765364,0.8884999752044678,0.7430167597765364,0.8604999780654907,0.7374301675977654,0.7770000100135803,0.41940298507462687,0.7835000157356262,0.5149253731343284,0.7695000171661377,0.5134328358208955,0.6035000085830688,0.263671875,0.659500002861023,0.3759765625,0.6754999756813049,0.4365234375
17,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/alpha_curve_0506/17,spirals,3,25,,0.984,0.07797896862030029,1.6172477938234806,0.654,0.405,0.2865,0.984,-1.537874698638916,0.666,0.388,0.299,0.081,0.2195,0.3065,0.4295,0.0365,0.224,0.355,0.5095,0.0225,0.1705,0.3205,0.49,0.5555555555555556,0.7289293849658315,0.7145187601957586,0.6053550640279395,0.6986301369863014,0.7433035714285714,0.7985915492957747,0.7860647693817469,0.7111111111111111,0.6891495601173021,0.7301092043681747,0.7785714285714286,0.3144722524483134,0.22293401665598975,0.1658255227108868,0.12971078001752848,0.6087182148417228,0.5740979381443299,0.5093023255813953,0.43119266055045874,0.7007672634271099,0.7034358047016275,0.6872700515084621,0.6264705882352941,0.889,0.7305389221556886,0.724,0.5694444444444444,0.5885,0.43152639087018546,0.8539999723434448,0.7365269461077845,0.8424999713897705,0.7559880239520959,0.8080000281333923,0.7335329341317365,0.7595000267028809,0.6568627450980392,0.7465000152587891,0.6568627450980392,0.7409999966621399,0.670751633986928,0.6775000095367432,0.5684736091298146,0.6959999799728394,0.6169757489300999,0.6809999942779541,0.6005706134094151,0.981,0.9394999742507935,0.9110000133514404,0.8644999861717224,0.842,0.609,0.482,0.0025,0.0275,0.0855,0.2105,0.002,0.0175,0.0585,0.188,0.0005,0.0135,0.038,0.121,0.4,0.6363636363636364,0.49122807017543857,0.31353919239904987,0.0,0.5428571428571428,0.6153846153846154,0.5930851063829787,0.0,0.5185185185185185,0.7368421052631579,0.6033057851239669,0.1573934837092732,0.14447300771208227,0.1268452706396938,0.11652944901836605,0.39178356713426854,0.388295165394402,0.3770578863515667,0.34421182266009853,0.5182591295647824,0.5179929042067917,0.5093555093555093,0.5062571103526735,0.894,0.5063291139240507,0.734,0.34782608695652173,0.641,0.32625482625482627,0.8809999823570251,0.6708860759493671,0.8450000286102295,0.6487341772151899,0.8345000147819519,0.6645569620253164,0.7730000019073486,0.4961636828644501,0.7795000076293945,0.5639386189258312,0.7615000009536743,0.5882352941176471,0.6614999771118164,0.37741312741312744,0.6855000257492065,0.46525096525096526,0.7024999856948853,0.5193050193050193
