run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.generative.criterion.kwargs.alpha,acc,dis_loss,gen_loss,rob/0.1,rob/0.2,rob/0.3,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.1,uq_adv_acc/0.2,uq_adv_acc/0.3,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.2,uq_detection/5pct/0.2,uq_detection/10pct/0.2,uq_detection/20pct/0.2,uq_detection/1pct/0.3,uq_detection/5pct/0.3,uq_detection/10pct/0.3,uq_detection/20pct/0.3,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.2,uq_det_err_detected/5pct/0.2,uq_det_err_detected/10pct/0.2,uq_det_err_detected/20pct/0.2,uq_det_err_detected/1pct/0.3,uq_det_err_detected/5pct/0.3,uq_det_err_detected/10pct/0.3,uq_det_err_detected/20pct/0.3,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.2,uq_det_err_passed/5pct/0.2,uq_det_err_passed/10pct/0.2,uq_det_err_passed/20pct/0.2,uq_det_err_passed/1pct/0.3,uq_det_err_passed/5pct/0.3,uq_det_err_passed/10pct/0.3,uq_det_err_passed/20pct/0.3,uq_purify_acc/0.1/0.2,uq_purify_recovery/0.1/0.2,uq_purify_acc/0.1/0.3,uq_purify_recovery/0.1/0.3,uq_purify_acc/0.2/0.2,uq_purify_recovery/0.2/0.2,uq_purify_acc/0.2/0.3,uq_purify_recovery/0.2/0.3,uq_purify_acc/0.3/0.2,uq_purify_recovery/0.3/0.2,uq_purify_acc/0.3/0.3,uq_purify_recovery/0.3/0.3,uq_clean_purify_acc/0.2,uq_clean_purify_acc/0.3,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.2,uq_joint_adv_acc/0.3,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.2,uq_joint_detection/5pct/0.2,uq_joint_detection/10pct/0.2,uq_joint_detection/20pct/0.2,uq_joint_detection/1pct/0.3,uq_joint_detection/5pct/0.3,uq_joint_detection/10pct/0.3,uq_joint_detection/20pct/0.3,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.2,uq_joint_det_err_detected/5pct/0.2,uq_joint_det_err_detected/10pct/0.2,uq_joint_det_err_detected/20pct/0.2,uq_joint_det_err_detected/1pct/0.3,uq_joint_det_err_detected/5pct/0.3,uq_joint_det_err_detected/10pct/0.3,uq_joint_det_err_detected/20pct/0.3,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.2,uq_joint_det_err_passed/5pct/0.2,uq_joint_det_err_passed/10pct/0.2,uq_joint_det_err_passed/20pct/0.2,uq_joint_det_err_passed/1pct/0.3,uq_joint_det_err_passed/5pct/0.3,uq_joint_det_err_passed/10pct/0.3,uq_joint_det_err_passed/20pct/0.3,uq_joint_purify_acc/0.1/0.2,uq_joint_purify_recovery/0.1/0.2,uq_joint_purify_acc/0.1/0.3,uq_joint_purify_recovery/0.1/0.3,uq_joint_purify_acc/0.2/0.2,uq_joint_purify_recovery/0.2/0.2,uq_joint_purify_acc/0.2/0.3,uq_joint_purify_recovery/0.2/0.3,uq_joint_purify_acc/0.3/0.2,uq_joint_purify_recovery/0.3/0.2,uq_joint_purify_acc/0.3/0.3,uq_joint_purify_recovery/0.3/0.3
0,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/0,ecg200,1,42,,0.82,0.6931698322296143,4.539168834686279,0.62,0.44,0.24,0.82,-3.845999240875244,0.62,0.46,0.26,0.08,0.1,0.14,0.22,0.2,0.24,0.32,0.48,0.5,0.5,0.54,0.64,0.75,0.8,0.8571428571428571,0.9090909090909091,0.6,0.5,0.5625,0.625,0.84,0.84,0.8518518518518519,0.875,0.34782608695652173,0.3333333333333333,0.3023255813953488,0.23076923076923078,0.525,0.5526315789473685,0.5294117647058824,0.46153846153846156,0.64,0.64,0.6086956521739131,0.5,0.72,0.2631578947368421,0.74,0.3157894736842105,0.62,0.2962962962962963,0.74,0.5185185185185185,0.62,0.4864864864864865,0.72,0.6216216216216216,0.84,0.82,0.74,0.72,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.26,0.26,0.26,0.26,0.28,0.28,0.28,0.28,0.3,0.3,0.3,0.3,0.8,0.23076923076923078,0.82,0.3076923076923077,0.78,0.2857142857142857,0.82,0.42857142857142855,0.78,0.26666666666666666,0.8,0.3333333333333333
1,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/1,ecg200,2,42,,0.82,0.6678429841995239,4.412994384765625,0.66,0.48,0.28,0.82,-3.7451512813568115,0.66,0.5,0.4,0.1,0.12,0.18,0.26,0.16,0.24,0.32,0.52,0.44,0.58,0.68,0.8,0.8,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.625,0.6666666666666666,0.6875,0.6153846153846154,0.6818181818181818,0.6551724137931034,0.6764705882352942,0.65,0.28888888888888886,0.29545454545454547,0.2682926829268293,0.21621621621621623,0.47619047619047616,0.4473684210526316,0.4117647058823529,0.375,0.5357142857142857,0.5238095238095238,0.4375,0.4,0.8,0.4117647058823529,0.78,0.4117647058823529,0.7,0.4,0.72,0.44,0.64,0.4,0.7,0.5,0.84,0.84,0.78,0.66,0.7,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,0.22,0.22,0.22,0.20408163265306123,0.34,0.34,0.34,0.34,0.3,0.3,0.3,0.3,0.8,0.18181818181818182,0.8,0.18181818181818182,0.78,0.35294117647058826,0.78,0.35294117647058826,0.76,0.2,0.78,0.26666666666666666
2,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/2,ecg200,3,42,,0.8,0.6849393248558044,4.295200824737549,0.62,0.42,0.22,0.8,-3.610261917114258,0.62,0.44,0.22,0.06,0.08,0.12,0.3,0.12,0.16,0.28,0.56,0.36,0.42,0.54,0.82,0.6666666666666666,0.75,0.8333333333333334,0.6,0.8333333333333334,0.875,0.5714285714285714,0.6428571428571429,0.9444444444444444,0.9047619047619048,0.8518518518518519,0.8292682926829268,0.3617021276595745,0.34782608695652173,0.3181818181818182,0.2857142857142857,0.5227272727272727,0.5,0.5555555555555556,0.45454545454545453,0.6875,0.6896551724137931,0.6956521739130435,0.5555555555555556,0.74,0.3157894736842105,0.76,0.3684210526315789,0.62,0.32142857142857145,0.66,0.39285714285714285,0.54,0.41025641025641024,0.58,0.46153846153846156,0.84,0.84,0.76,0.74,0.66,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,,,,,,,,,0.24,0.24,0.24,0.22916666666666666,0.26,0.26,0.26,0.26,0.34,0.34,0.34,0.34,0.78,0.08333333333333333,0.78,0.08333333333333333,0.76,0.07692307692307693,0.76,0.07692307692307693,0.72,0.17647058823529413,0.72,0.17647058823529413
3,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/3,ecg200,4,42,,0.82,0.7133814096450806,4.872762203216553,0.68,0.44,0.18,0.82,-4.159380912780762,0.66,0.48,0.28,0.02,0.06,0.1,0.28,0.14,0.24,0.32,0.48,0.52,0.58,0.64,0.88,1.0,0.6666666666666666,0.6,0.6428571428571429,0.2857142857142857,0.5,0.625,0.5833333333333334,0.6538461538461539,0.6551724137931034,0.65625,0.7045454545454546,0.32653061224489793,0.3191489361702128,0.3111111111111111,0.2222222222222222,0.5581395348837209,0.5263157894736842,0.47058823529411764,0.46153846153846156,0.7916666666666666,0.8095238095238095,0.8333333333333334,0.8333333333333334,0.76,0.29411764705882354,0.78,0.35294117647058826,0.64,0.3076923076923077,0.68,0.38461538461538464,0.58,0.4444444444444444,0.6,0.4722222222222222,0.84,0.82,0.78,0.72,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.28,0.28,0.28,0.28,0.36,0.36,0.36,0.36,0.78,0.09090909090909091,0.8,0.18181818181818182,0.76,0.14285714285714285,0.78,0.21428571428571427,0.76,0.3333333333333333,0.76,0.3333333333333333
4,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/4,ecg200,5,42,,0.84,0.6389266848564148,6.375089168548584,0.64,0.5,0.22,0.84,-5.736162185668945,0.64,0.5,0.24,0.1,0.1,0.12,0.3,0.14,0.14,0.26,0.46,0.52,0.52,0.58,0.8,0.8,0.8,0.6666666666666666,0.6666666666666666,1.0,1.0,0.7692307692307693,0.6086956521739131,0.8076923076923077,0.8076923076923077,0.7931034482758621,0.825,0.3111111111111111,0.3111111111111111,0.3181818181818182,0.22857142857142856,0.4186046511627907,0.4186046511627907,0.40540540540540543,0.4074074074074074,0.7083333333333334,0.7083333333333334,0.7142857142857143,0.5,0.8,0.4444444444444444,0.8,0.4444444444444444,0.7,0.4,0.74,0.48,0.6,0.47368421052631576,0.64,0.5263157894736842,0.8,0.8,0.8,0.76,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.24,0.24,0.24,0.24,0.28,0.28,0.28,0.28,0.8,0.2,0.8,0.2,0.8,0.16666666666666666,0.8,0.16666666666666666,0.8,0.2857142857142857,0.8,0.2857142857142857
5,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/5,ecg200,6,42,,0.82,0.549813449382782,4.6412434577941895,0.66,0.44,0.18,0.82,-4.091430187225342,0.64,0.46,0.22,0.12,0.16,0.18,0.36,0.24,0.34,0.4,0.7,0.52,0.56,0.64,0.82,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.75,0.6470588235294118,0.55,0.5428571428571428,0.7307692307692307,0.7142857142857143,0.71875,0.7804878048780488,0.3181818181818182,0.2857142857142857,0.2926829268292683,0.1875,0.47368421052631576,0.48484848484848486,0.5333333333333333,0.5333333333333333,0.8333333333333334,0.8636363636363636,0.8888888888888888,0.7777777777777778,0.76,0.3333333333333333,0.76,0.3333333333333333,0.66,0.37037037037037035,0.72,0.48148148148148145,0.54,0.41025641025641024,0.56,0.4358974358974359,0.84,0.82,0.78,0.7,0.7,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,,,,,,,,,0.22,0.22,0.22,0.20833333333333334,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.78,0.18181818181818182,0.78,0.18181818181818182,0.74,0.13333333333333333,0.74,0.13333333333333333,0.76,0.2,0.76,0.2
6,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/6,ecg200,7,42,,0.8,0.6662829518318176,4.7846527099609375,0.66,0.42,0.24,0.8,-4.1183695793151855,0.66,0.46,0.2,0.1,0.12,0.16,0.24,0.22,0.22,0.28,0.54,0.36,0.36,0.42,0.62,0.6,0.6666666666666666,0.625,0.5,0.5454545454545454,0.5454545454545454,0.5,0.5925925925925926,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8387096774193549,0.3111111111111111,0.29545454545454547,0.2857142857142857,0.2894736842105263,0.5384615384615384,0.5384615384615384,0.5555555555555556,0.4782608695652174,0.75,0.75,0.7586206896551724,0.7368421052631579,0.72,0.29411764705882354,0.74,0.35294117647058826,0.66,0.37037037037037035,0.7,0.4444444444444444,0.58,0.475,0.64,0.55,0.84,0.84,0.8,0.76,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.24,0.24,0.24,0.24,0.34,0.34,0.34,0.34,0.78,0.1,0.8,0.2,0.8,0.16666666666666666,0.8,0.16666666666666666,0.76,0.35294117647058826,0.76,0.35294117647058826
7,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/7,ecg200,8,42,,0.86,0.591611921787262,6.133847713470459,0.62,0.52,0.24,0.86,-5.542235851287842,0.62,0.46,0.28,0.12,0.14,0.18,0.32,0.18,0.2,0.26,0.48,0.3,0.32,0.38,0.6,0.6666666666666666,0.7142857142857143,0.7777777777777778,0.6875,0.7777777777777778,0.8,0.7692307692307693,0.7083333333333334,0.9333333333333333,0.9375,0.8421052631578947,0.8,0.3409090909090909,0.32558139534883723,0.2926829268292683,0.23529411764705882,0.4878048780487805,0.475,0.4594594594594595,0.38461538461538464,0.6285714285714286,0.6176470588235294,0.6451612903225806,0.6,0.76,0.3684210526315789,0.76,0.3684210526315789,0.66,0.37037037037037035,0.76,0.5555555555555556,0.58,0.4166666666666667,0.68,0.5555555555555556,0.84,0.84,0.74,0.76,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.26,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.26,0.26,0.26,0.26,0.8,0.23076923076923078,0.8,0.3076923076923077,0.78,0.16666666666666666,0.8,0.25,0.76,0.15384615384615385,0.78,0.23076923076923078
8,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/8,ecg200,9,42,,0.84,0.6603686213493347,5.574864864349365,0.64,0.52,0.32,0.84,-4.914495944976807,0.64,0.5,0.4,0.1,0.1,0.22,0.24,0.22,0.36,0.42,0.6,0.48,0.6,0.68,0.78,0.6,0.6,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.6111111111111112,0.5714285714285714,0.6,0.5,0.5333333333333333,0.5588235294117647,0.5897435897435898,0.3333333333333333,0.3333333333333333,0.28205128205128205,0.2631578947368421,0.46153846153846156,0.4375,0.4482758620689655,0.35,0.6923076923076923,0.7,0.6875,0.6363636363636364,0.78,0.4444444444444444,0.78,0.4444444444444444,0.72,0.44,0.76,0.52,0.68,0.4666666666666667,0.74,0.5666666666666667,0.84,0.84,0.8,0.7,0.66,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.2,0.2,0.2,0.20408163265306123,0.3,0.3,0.3,0.3,0.34,0.34,0.34,0.34,0.8,0.1,0.8,0.1,0.82,0.4,0.82,0.4,0.78,0.35294117647058826,0.8,0.4117647058823529
9,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a02_2707/9,ecg200,10,42,,0.8,0.6690188646316528,4.165189743041992,0.62,0.44,0.14,0.8,-3.496171236038208,0.62,0.5,0.18,0.08,0.12,0.14,0.28,0.24,0.3,0.34,0.56,0.46,0.56,0.56,0.76,0.75,0.8333333333333334,0.8571428571428571,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.7058823529411765,0.5714285714285714,0.9130434782608695,0.8571428571428571,0.8571428571428571,0.8947368421052632,0.34782608695652173,0.3181818181818182,0.3023255813953488,0.25,0.4473684210526316,0.42857142857142855,0.3939393939393939,0.4090909090909091,0.7407407407407407,0.7727272727272727,0.7727272727272727,0.5833333333333334,0.72,0.2631578947368421,0.74,0.3157894736842105,0.64,0.28,0.68,0.36,0.52,0.4146341463414634,0.62,0.5365853658536586,0.84,0.84,0.74,0.7,0.64,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,0.26,0.26,0.26,0.24489795918367346,0.3,0.3,0.3,0.3,0.36,0.36,0.36,0.36,0.78,0.23076923076923078,0.8,0.3076923076923077,0.76,0.2,0.76,0.2,0.74,0.2777777777777778,0.74,0.2777777777777778
